"Wavelength","Absorbance","v'"
513.3964571,0.509356279,44
514.430489,0.502114835,43
515.7064497,0.507725859,42
516.9202398,0.538380563,41
518.1932382,0.552191077,40
519.5252282,0.554340094,39
521.0368318,0.562945316,38
522.4859482,0.568081909,37
524.053588,0.591923137,36
525.7392143,0.586790032,35
527.4221432,0.598841017,34
529.1023747,0.606433638,33
530.9594846,0.584963523,32
532.8132882,0.597572767,31
534.8426902,0.575497516,30
536.8681149,0.588812871,29
538.9489564,0.581139949,28
541.2626436,0.598625633,27
543.4528427,0.599438669,26
545.8153271,0.566647092,25
548.290011,0.560373955,24
550.8173283,0.525730201,23
553.3968351,0.493642119,22
556.0864702,0.464591082,21
558.8852841,0.423851011,20
561.7922857,0.388807759,19
564.690686,0.35227097,18
567.7535991,0.317752579,17
570.8643633,0.291983748,16
574.1370634,0.254662056,15
577.4557049,0.222061378,14
