"Wavelength","Absorbance","v'"
513.45731,0.165915415,44
514.5520744,0.166083357,43
515.7671719,0.164538939,42
516.9808932,0.16726598,41
518.314397,0.167777311,40
519.6462356,0.169041679,39
521.0972512,0.17532063,38
522.5462851,0.17591291,37
524.1138353,0.177882428,36
525.7993654,0.181067632,35
527.4221432,0.179574222,34
529.1623331,0.180294706,33
531.0193364,0.182222438,32
532.8730332,0.177976847,31
534.8426902,0.176798063,30
536.9871336,0.178524357,29
539.0677343,0.179296769,28
541.3219001,0.176131157,27
543.5119719,0.173752583,26
545.8743187,0.168785036,25
548.348858,0.165762792,24
550.8760274,0.160090875,23
553.5139271,0.153448435,22
556.1448597,0.145512652,21
558.9435084,0.139523718,20
561.850338,0.130500501,19
564.8064431,0.121331958,18
567.9266826,0.11571348,17
570.9793841,0.108778346,16
