"Wavelength","Absorbance","v'"
513.45731,0.162302992,44
514.5520744,0.161479066,43
515.7671719,0.159704229,42
516.9808932,0.166822735,41
518.314397,0.169414276,40
519.6462356,0.16843976,39
521.0972512,0.172481679,38
522.5462851,0.173274964,37
524.1138353,0.176033366,36
525.7993654,0.180676926,35
527.4821979,0.182037595,34
529.1623331,0.182692435,33
530.9594846,0.179598919,32
532.992513,0.182082258,31
534.9023183,0.179872713,30
536.927626,0.179164344,29
539.0677343,0.186608662,28
541.3219001,0.178445297,27
543.5710977,0.173679501,26
545.9333068,0.170856042,25
548.348858,0.166338452,24
550.8760274,0.16267323,23
553.4553828,0.156336857,22
556.2032457,0.152817908,21
559.0599467,0.141276042,20
561.850338,0.133728375,19
564.7485662,0.124356826,18
567.8689915,0.120110439,17
570.9793841,0.113962001,16
574.251692,0.10147262,15
577.5128214,0.098978942,14
