Wavelength,bxw2Absorbance,bxw0Absorbance
499.2472363,0.458098017,-0.339948062
499.308884,0.458098017,-0.339948062
499.3705283,0,-0.339948062
499.4321691,0,0.56427143
499.4938065,0,0
499.5554404,-1.202749247,0
499.6170709,-0.904192724,-0.62838893
499.678698,-0.95356233,-1.127104798
499.7403216,-1.151379954,-0.728933228
499.8019418,-0.968263505,-0.179160491
499.8635585,-0.985227152,-0.366148174
499.9251718,-1.023646101,0
499.9867817,-0.877758753,0
500.0483881,-0.842331824,-0.77003336
500.1099911,-0.824781444,-0.500602351
500.1715906,-0.152000648,-0.572096768
500.2331867,0.186108531,-0.218495108
500.2947794,0.270905528,0.274522445
500.3563686,0.301782021,0.388472218
500.4179544,0.317101202,0.401410784
500.4795367,0.323527047,0.432691691
500.5411156,0.325815725,0.408487028
500.602691,0.326569388,0.403034814
500.664263,0.326947856,0.408424158
500.7258316,0.326825785,0.408380895
500.7873967,0.325799445,0.406329409
500.8489584,0.324153953,0.402976432
500.9105167,0.325026849,0.406859091
500.9720715,0.325491149,0.409461103
501.0336229,0.326971104,0.428095626
501.0951708,0.327977393,0.394018587
501.1567153,0.329931651,0.39938525
501.2182563,0.329571902,0.406134487
501.2797939,0.329930285,0.414586406
501.3413281,0.329919874,0.416113978
501.4028588,0.331564996,0.411934598
501.4643861,0.331914593,0.401351992
501.5259099,0.331824276,0.424373819
501.5874304,0.331763046,0.412083013
501.6489473,0.332684183,0.412399602
501.7104608,0.332615682,0.407432506
501.7719709,0.335274415,0.433622044
501.8334776,0.337743229,0.41007584
501.8949808,0.339738834,0.396224558
501.9564805,0.339407345,0.427272115
502.0179768,0.339652473,0.429434788
502.0794697,0.336895655,0.412068357
502.1409592,0.335486957,0.402719569
502.2024452,0.333341035,0.405198581
502.2639277,0.333048355,0.410107252
502.3254068,0.333862171,0.39566621
502.3868825,0.336780997,0.404481416
502.4483547,0.336064125,0.397594737
502.5098235,0.33771169,0.419680057
502.5712889,0.339559737,0.424648333
502.6327508,0.341011317,0.431180942
502.6942093,0.341169541,0.435707558
502.7556643,0.344848958,0.446437061
502.8171159,0.347035404,0.420204187
502.878564,0.347612899,0.397940009
502.9400088,0.347527053,0.40964167
503.00145,0.348529682,0.422993317
503.0628879,0.347538926,0.419101093
503.1243222,0.346506765,0.421594986
